Course,CourseTitle,CRN,CourseDates,CourseDays,CourseTimes,Room,CreditHours,Enrolled,AvailableSeats,MaxSeats,ScheduleType,InstructionalMethod,Campus,Instructor,Comments,LACCategory,CourseMaterialType,CourseMaterialCost
AFS100-001,HI1-Intro Africana Studies,22640,01/09/2023 05/07/2023,M W F,12:20pm-1:10pm,Candelaria Hall 1260,3,0,65,65,Lecture,Face to Face,Main Campus,George Junne,,"LAH1, LAMS, LC4, LC8",,
AFS205-001,AH2-Survey African Amer Lit,24057,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 1025,3,0,35,35,Lecture,Face to Face,Main Campus,George Junne,,"LAA2, LC3B",,
AFS340-001,The Black Family,22959,01/09/2023 05/07/2023,T R,9:30am-10:45am,Candelaria Hall 2260,3,0,25,25,Lecture,Face to Face,Main Campus,Mitchell Gardner,,,,
ANT110-001,SS3-Intro to Cultural Anthro,23003,01/09/2023 05/07/2023,T R,9:30am-10:45am,Candelaria Hall 1220,3,0,65,65,Lecture,Face to Face,Main Campus,Whitney Duncan Johnson,,"LAB3, LAIS, LC5C, LC7",,
ANT130-001,SC2-Intro to Biologic Anthro,22639,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 1260,3,0,65,65,Lecture,Face to Face,Main Campus,Marian Hamilton,,"LAS1, LC6",,
ANT130L-101,SC1-Intro to Bio Anth Lab,24078,01/09/2023 05/07/2023,M,1:25pm-3:05pm,Candelaria Hall 1190,1,0,20,20,Laboratory,Face to Face,Main Campus,Marian Hamilton,,"LC6, LCLB",,
ANT130L-102,SC1-Intro to Bio Anth Lab,24079,01/09/2023 05/07/2023,W,2:30pm-4:10pm,Candelaria Hall 1190,1,0,0,0,Laboratory,Face to Face,Main Campus,Marian Hamilton,,"LC6, LCLB",,
ANT130L-103,SC1-Intro to Bio Anth Lab,24080,01/09/2023 05/07/2023,F,1:25pm-3:05pm,Candelaria Hall 1190,1,0,20,20,Laboratory,Face to Face,Main Campus,Marian Hamilton,,"LC6, LCLB",,
ANT212-001,SS3-North Amer Indians,22175,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Candelaria Hall 2220,3,0,65,65,Lecture,Face to Face,Main Campus,Sierra Bitsie,,"LAB3, LAMS, LC5C, LC8",,
ANT270-001,Professional Development,22176,01/09/2023 05/07/2023,W,2:30pm-5:30pm,Candelaria Hall 0395,3,0,30,30,Lecture,Face to Face,Main Campus,Michael Kimball,,,,
ANT300-001,Applied Anthropology,21947,01/09/2023 05/07/2023,M,2:30pm-5:30pm,Candelaria Hall 2280,3,0,25,25,Lecture,Face to Face,Main Campus,Michael Kimball,,,,
ANT328-001,Public Archaeology,24081,01/09/2023 05/07/2023,T R,9:30am-10:45am,Candelaria Hall 1190,3,0,25,25,Lecture,Face to Face,Main Campus,Andrew Creekmore,,,,
ANT330-001,Forensic Anthropology,24082,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 1190,3,0,25,25,Lecture,Face to Face,Main Campus,Britney Kyle,,,,
ANT355-001,Medical Anthropology,22644,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Candelaria Hall 1190,3,0,25,25,Lecture,Face to Face,Main Campus,Whitney Duncan Johnson,,,,
ANT470-001,Anthropology of Food,21603,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Candelaria Hall 1190,3,0,20,20,Seminar,Face to Face,Main Campus,Marian Hamilton,,,,
APCE385-009,Prac Comm Engagement:CC,21917,01/09/2023 05/07/2023,R,3:30pm-9:30pm,McKee 0221,3,0,25,25,Practicum/Clinical,Internship/Practica,Main Campus,,MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
APCE603-003,Underst Child/Adol & Syst,21918,01/09/2023 05/07/2023,T,9:30am-12:15pm,McKee 0144,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE605-010,Group Lab Experience,24599,03/03/2023 03/05/2023,F,4:00pm-9:00pm,TBA,1,0,25,25,Laboratory,Face to Face,Main Campus,,,,,
APCE608-003,Org/Ad/Eval Sch Couns Prg,22732,01/09/2023 05/07/2023,M,9:00am-12:00pm,McKee 0221,3,0,0,0,Lecture,Face to Face,Main Campus,,,,,
APCE612-003,Pract Indiv Counseling,21919,01/09/2023 05/07/2023,W,1:00pm-8:00pm,McKee 0223,5,0,6,6,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE612-007,Pract Indiv Counseling,21920,01/09/2023 05/07/2023,R,1:00pm-8:00pm,McKee 0138,5,0,6,6,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE616-011,Career Couns Theo & Asses,22589,01/09/2023 05/07/2023,W,1:25pm-4:25pm,McKee 0137,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE617-001,Play Therapy:Theory & PRA,23483,01/09/2023 05/07/2023,M,2:00pm-8:00pm,TBA,3,0,6,6,Practicum/Clinical,Internship/Practica,Main Campus,,,,,
APCE624-003,Assmt Trtmt Substance Abuse,21923,01/09/2023 05/07/2023,W,9:05am-12:05pm,McKee 0221,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE657-006,Legal Eth Asp Coun & Psy,21924,01/09/2023 05/07/2023,T,12:30pm-3:30pm,McKee 0138,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE660-007,Psy Counsult Thry & Pract,22733,02/10/2023 02/10/2023,F,4:00pm-10:00pm,McKee 0221,3,0,25,25,Lecture,Face to Face,Main Campus,,This is a weekend course - F 4-10; Sat 8-5; Sun 8-4 - 2/11-2/13/2022 and 2/25-2/27/2022,,,
APCE661-007,Psych Trauma/Intervent,21925,01/09/2023 05/07/2023,T,12:30pm-3:30pm,McKee 0221,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE662-003,Group Dynamics/Facilit,21926,01/09/2023 05/07/2023,M,9:05am-12:05pm,McKee 0139,3,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE669-003,Adv Mthds: Cpls/Fam Thrpy,21927,01/09/2023 05/07/2023,T,9:30am-12:15pm,McKee 0221,3,0,25,25,Seminar,Face to Face,Main Campus,,,,,
APCE674-001,Assmt/Int: Cog/Academic,23484,01/09/2023 05/07/2023,R,11:15am-3:20pm,McKee 0221,4,0,10,10,Laboratory,Face to Face,Main Campus,,,,,
APCE677-005,Psychometrics in Coun Psy,24602,01/20/2023 01/20/2023,F,9:05am-1:15pm,TBA,1,0,25,25,Lecture,Face to Face,Main Campus,,,,,
APCE694-006,Pract Couples/Fam Therapy,21930,01/09/2023 05/07/2023,M,12:30pm-8:30pm,McKee 0424,4,0,8,8,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
APCE701-005,Prof Dev Sem in Couns Psy,21931,01/09/2023 05/07/2023,W,11:00am-11:50am,McKee 0138,1,0,15,15,Seminar,Face to Face,Main Campus,,,,,
APCE703-011,Prof Dev Sem in Couns Ed,23721,01/11/2023 01/11/2023,W,2:30pm-5:30pm,TBA,1,0,6,6,Seminar,Face to Face,Main Campus,,,,,
APCE712-103,Adv Prac in Ind Couns,22608,01/09/2023 05/07/2023,M,1:30pm-8:30pm,McKee 0137,4,0,8,8,Practicum/Clinical,Internship/Practica,Main Campus,,Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE712-108,Adv Prac in Ind Couns,22565,01/09/2023 05/07/2023,T,1:30pm-8:30pm,McKee 0428,4,0,8,8,Practicum/Clinical,Internship/Practica,Main Campus,,,,,
APCE714-003,Prac Supvr of Counseling,21933,01/09/2023 05/07/2023,W,9:05am-11:00am,TBA,6-Mar,0,15,15,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE715-005,Sem in Couns Superv/Theor,21934,01/09/2023 05/07/2023,W,11:15am-12:05pm,TBA,2,0,15,15,Seminar,Face to Face,Main Campus,,,,,
APCE746-003,Advanced Seminar CES,22734,01/09/2023 05/07/2023,T,9:30am-12:15pm,TBA,3,0,15,15,Seminar,Face to Face,Main Campus,,,,,
APCE762-006,Pract in Group Facil,21935,01/09/2023 05/07/2023,T,12:30pm-5:00pm,McKee 0136,4,0,10,10,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
APCE774-006,Prac Sup Fam Therapy,21936,01/09/2023 05/07/2023,M,12:30pm-8:30pm,McKee 0136,3,0,2,2,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
APCE782-001,Intro to Rorschach,23360,01/09/2023 05/07/2023,R,9:30am-12:15pm,TBA,3,0,15,15,Lecture,Face to Face,Main Campus,,,,,
APCE785-009,Adv Prac Com Engagemnt CC,21937,01/09/2023 05/07/2023,R,3:30pm-9:30pm,McKee 0254,1,0,25,25,Practicum/Clinical,Internship/Practica,Main Campus,,MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
APCE791-070,Intern Couns Psy,21374,01/09/2023 05/07/2023,TBA,TBA,TBA,5-Jan,0,10,10,Internship,Internship/Practica,Main Campus,,MF - This course meets on-campus and online with meeting times arranged. Support available at www.unco.edu/Canvas.,,,
APCE792-070,Intnshp Coun Ed & Suprvsn,21938,01/09/2023 05/07/2023,TBA,TBA,TBA,6-Jan,0,15,15,Internship,Internship/Practica,Main Campus,,MF - This course meets on-campus and online with meeting times arranged. Support available at www.unco.edu/Canvas.,,,
APCE794-006,Adv Prac:Clinic Admin/Svc,21939,01/09/2023 05/07/2023,W,12:20pm-1:45pm,McKee 0221,1,0,15,15,Clinical,Internship/Practica,Main Campus,,Additional hours arranged. Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
APCE795-006,External Prac in Coun Psy,21940,01/09/2023 05/07/2023,W,2:30pm-5:30pm,McKee 0221,3,0,15,15,Practicum/Clinical,Internship/Practica,Main Campus,,Additional hours arranged. MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
APCE799-010,Doctoral Dissertation,23950,01/09/2023 05/07/2023,TBA,TBA,TBA,12-Jan,0,5,5,Dissertation/Thesis,Directed Study,Main Campus,Linda Black,,,,
ART171-007,Intro to Vis Comm Design,20388,01/09/2023 05/07/2023,T R,5:00pm-7:15pm,Guggenheim Hall 0106,3,0,20,20,Laboratory,Face to Face,Main Campus,Anna Ursyn,,,,
ART183-004,2D Design,21047,01/09/2023 05/07/2023,M W,11:15am-1:45pm,Crabbe 0202,3,0,22,22,Studio Art/Music/Theatre,Face to Face,Main Campus,,,,,
ART183-014,2D Design,20355,01/09/2023 05/07/2023,T R,8:00am-10:30am,Crabbe 0202,3,0,22,22,Studio Art/Music/Theatre,Face to Face,Main Campus,Samuel Dong Saul,,,,
ART184-005,3D Design,20337,01/09/2023 05/07/2023,T R,11:00am-1:30pm,Crabbe 0206,3,0,22,22,Studio Art/Music/Theatre,Face to Face,Main Campus,,,,,
ART184-008,3D Design,21113,01/09/2023 05/07/2023,M W,2:30pm-5:00pm,Crabbe 0206,3,0,22,22,Studio Art/Music/Theatre,Face to Face,Main Campus,Michael Lemke,,,,
ART185-011,AH1-Neoclassic to Mod Art Hist,20705,01/09/2023 05/07/2023,T R,5:00pm-6:15pm,Guggenheim Hall 0001,3,0,40,40,Lecture,Face to Face,Main Campus,Sarah Redman,Asynchronous Online - Support available at www.unco.edu/Canvas.,"LAA1, LC3A",,
ART190-001,AH1-Art Appreciation,20346,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,Guggenheim Hall 0001,3,0,40,40,Lecture,Face to Face,Main Campus,Kirsten Gilderhus,,"LAA1, LC3A",,
ART210-004,Introduction to Ceramics,21674,01/09/2023 05/07/2023,T R,2:00pm-4:30pm,Arts Annex 0119,3,0,18,18,Studio Art/Music/Theatre,Face to Face,Main Campus,Michael Lemke,,,,
ART231-002,Painting I,20339,01/09/2023 05/07/2023,M W,2:30pm-5:00pm,Guggenheim Hall 0200,3,0,18,18,Studio Art/Music/Theatre,Face to Face,Main Campus,Lauren Eisen,,,,
ART234-002,Drawing I,20348,01/09/2023 05/07/2023,M W,8:00am-10:30am,Crabbe 0202,3,0,22,22,Studio Art/Music/Theatre,Face to Face,Main Campus,Andrew Meyer,,,,
ART234-008,Drawing I,20356,01/09/2023 05/07/2023,T R,2:00pm-4:30pm,Crabbe 0202,3,0,22,22,Studio Art/Music/Theatre,Face to Face,Main Campus,Matthew McHugh,,,,
ART234-010,Drawing I,21297,01/09/2023 05/07/2023,M W,5:15pm-7:45pm,Crabbe 0202,3,0,22,22,Studio Art/Music/Theatre,Face to Face,Main Campus,Stephanie Spindler,,,,
ART237-005,Intro to Digital Media,21675,01/09/2023 05/07/2023,M W,11:15am-1:45pm,Guggenheim Hall 0106,3,0,20,20,Studio Art/Music/Theatre,Face to Face,Main Campus,Samuel Dong Saul,,,,
ART250-005,Intro to Printmaking,21676,01/09/2023 05/07/2023,T R,8:00am-10:30am,Crabbe 0102,3,0,18,18,Studio Art/Music/Theatre,Face to Face,Main Campus,Andrew Meyer,,,,
ART261-012,Intro to Sculpture,20358,01/09/2023 05/07/2023,T R,8:00am-10:30am,Arts Annex 0103,3,0,16,16,Studio Art/Music/Theatre,Face to Face,Main Campus,Bri Murphy,,,,
ART265-006,Metalsmithing,20395,01/09/2023 05/07/2023,T R,11:00am-1:30pm,Arts Annex 0017,3,0,16,16,Studio Art/Music/Theatre,Face to Face,Main Campus,Christine Wire,,,,
ART271-006,Intro to Photography,20748,01/09/2023 05/07/2023,M W,8:00am-10:30am,Arts Annex 0132,3,0,20,20,Studio Art/Music/Theatre,Face to Face,Main Campus,Andrew Liccardo,,,,
ART275-001,Intro to Motion Graphics,24487,01/09/2023 05/07/2023,T R,11:00am-1:30pm,Guggenheim Hall 0106,3,0,20,20,Studio Art/Music/Theatre,Face to Face,Main Campus,Hye Jeong Park,,,,
ART315-005,Ceramic Design,22805,01/09/2023 05/07/2023,M W,8:00am-10:30am,Arts Annex 0119,3,0,14,14,Studio Art/Music/Theatre,Face to Face,Main Campus,Michael Lemke,,,,
ART331-004,Painting II,20340,01/09/2023 05/07/2023,M W,11:15am-1:45pm,Guggenheim Hall 0002,3,0,9,9,Studio Art/Music/Theatre,Face to Face,Main Campus,Lauren Eisen,,,,
ART334-001,Drawing II,24186,01/09/2023 05/07/2023,T R,2:00pm-4:30pm,Crabbe 0106A,3,0,10,10,Studio Art/Music/Theatre,Face to Face,Main Campus,Lauren Eisen,,,,
ART338-008,Illust & Storytelling,21686,01/09/2023 05/07/2023,M W,5:15pm-7:45pm,Guggenheim Hall 0106,3,0,15,15,Studio Art/Music/Theatre,Face to Face,Main Campus,Samuel Dong Saul,,,,
ART345-010,Clinical Experience I:K12,20914,01/09/2023 05/07/2023,W,5:15pm-6:30pm,Guggenheim Hall 0201,3,0,12,12,Practicum/Clinical,Internship/Practica,Main Campus,Alison Myers,,,,
ART356-008,Monotypes,22616,01/09/2023 05/07/2023,T R,11:00am-1:30pm,Crabbe 0102,3,0,12,12,Studio Art/Music/Theatre,Face to Face,Main Campus,Andrew Meyer,,,,
ART370-002,Graphic Design II,22039,01/09/2023 05/07/2023,T R,11:00am-1:30pm,Guggenheim Hall 0105,3,0,20,20,Studio Art/Music/Theatre,Face to Face,Main Campus,Mark Fetkewicz,,,,
ART370-007,Graphic Design II,20937,01/09/2023 05/07/2023,M W,2:30pm-5:00pm,Guggenheim Hall 0105,3,0,20,20,Studio Art/Music/Theatre,Face to Face,Main Campus,Mark Fetkewicz,,,,
ART375-004,Photography:Digtl Capture,21682,01/09/2023 05/07/2023,T R,11:00am-1:30pm,Arts Annex 0132,3,0,14,14,Studio Art/Music/Theatre,Face to Face,Main Campus,Andrew Liccardo,,,,
ART401-004,Working Artist: Practicum,21235,01/09/2023 05/07/2023,T R,8:00am-9:15am,Arts Annex 0132,3,0,22,22,Lecture,Face to Face,Main Campus,Andrew Liccardo,,,,
ART410-005,Advanced Ceramics,23501,01/09/2023 05/07/2023,M W,8:00am-10:30am,Arts Annex 0119,3,0,4,4,Studio Art/Music/Theatre,Face to Face,Main Campus,Michael Lemke,,,,
ART431-004,Painting III,20341,01/09/2023 05/07/2023,M W,11:15am-1:45pm,Guggenheim Hall 0002,3,0,6,6,Studio Art/Music/Theatre,Face to Face,Main Campus,Lauren Eisen,,,,
ART432-004,Advanced Painting,21683,01/09/2023 05/07/2023,M W,11:15am-1:45pm,Guggenheim Hall 0200,3,0,3,3,Studio Art/Music/Theatre,Face to Face,Main Campus,Lauren Eisen,,,,
ART433-006,Advanced Drawing,23522,01/09/2023 05/07/2023,T R,2:00pm-4:30pm,Crabbe 0106A,3,0,8,8,Studio Art/Music/Theatre,Face to Face,Main Campus,Lauren Eisen,,,,
ART437-006,Computer Art,23524,01/09/2023 05/07/2023,T R,2:00pm-4:30pm,Guggenheim Hall 0106,3,0,15,15,Studio Art/Music/Theatre,Face to Face,Main Campus,Anna Ursyn,,,,
ART439-070,Computer Graphics Studio,20393,01/09/2023 05/07/2023,T R,2:00pm-4:30pm,Guggenheim Hall 0106,3,0,5,5,Studio Art/Music/Theatre,Face to Face,Main Campus,Anna Ursyn,,,,
ART440-002,Foundations of Art Ed,21878,01/09/2023 05/07/2023,M W,9:05am-10:20am,Guggenheim Hall 0201,3,0,20,20,Lecture,Face to Face,Main Campus,Connie Stewart,,,,
ART441-011,Cltrl Stds Art Curriculum,20379,01/09/2023 05/07/2023,T R,9:30am-10:45am,Guggenheim Hall 0201,3,0,20,20,Lecture,Face to Face,Main Campus,Connie Stewart,,,,
ART452-008,Advanced Printmaking,23502,01/09/2023 05/07/2023,T R,11:00am-1:30pm,Crabbe 0102,3,0,6,6,Studio Art/Music/Theatre,Face to Face,Main Campus,Andrew Meyer,,,,
ART462-002,Advanced Sculpture,24526,01/09/2023 05/07/2023,M W,2:30pm-5:00pm,Arts Annex 0103,3,0,16,16,Studio Art/Music/Theatre,Face to Face,Main Campus,Bri Murphy,,,,
ART470-005,Narrative Design,20343,01/09/2023 05/07/2023,M W,11:15am-1:45pm,Guggenheim Hall 0105,3,0,20,20,Studio Art/Music/Theatre,Face to Face,Main Campus,Mark Fetkewicz,,,,
ART479-001,Senior Project,21384,01/09/2023 05/07/2023,M W,8:00am-10:30am,Guggenheim Hall 0002,3,0,20,20,Studio Art/Music/Theatre,Face to Face,Main Campus,Hye Jeong Park,,,,
ART481-005,Advanced Photography,23503,01/09/2023 05/07/2023,T R,11:00am-1:30pm,Arts Annex 0132,3,0,4,4,Studio Art/Music/Theatre,Face to Face,Main Campus,Andrew Liccardo,,,,
ART492-971,Internship in Art,22624,01/09/2023 05/07/2023,TBA,TBA,Arranged,3,0,5,5,Internship,Internship/Practica,Main Campus,Kirsten Gilderhus,,,,
ART495-001,Design History,23523,01/09/2023 05/07/2023,T R,9:30am-10:45am,Guggenheim Hall 0001,3,0,40,40,Lecture,Face to Face,Main Campus,Kirsten Gilderhus,,,,
AS302-006,USAF Lead/Comm II,21128,01/09/2023 05/07/2023,F,8:30am-11:00am,Candelaria Hall 2260,3,0,1,1,Lecture,Face to Face,Main Campus,"Jason Blantin, Gregg Johnson, Blake Friend",,,,
ASL101-001,ASL I,21645,01/09/2023 05/07/2023,M W F,10:10am-11:00am,McKee 0333,3,0,25,25,Lecture,Face to Face,Main Campus,Anand Raj,,LC8,,
ASL101-002,ASL I,21646,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,McKee 0142,3,0,25,25,Lecture,Face to Face,Main Campus,Christopher Ballentine,,LC8,,
ASL101-003,ASL I,21647,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0139,3,0,25,25,Lecture,Face to Face,Main Campus,Anand Raj,,LC8,,
ASL101-004,ASL I,21648,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0333,3,0,25,25,Lecture,Face to Face,Main Campus,Anand Raj,,LC8,,
ASL102-001,ASL II,21654,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,McKee 0333,3,0,25,25,Lecture,Face to Face,Main Campus,Anand Raj,,LC8,,
ASL201-001,AH4-ASL III,21657,01/09/2023 05/07/2023,M W F,10:10am-11:00am,McKee 0338,3,0,20,20,Lecture,Face to Face,Main Campus,Melinda Kisling,,"LAA4, LAMS, LC3D, LC8",,
ASL202-001,AH4-ASL IV,21660,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,McKee 0338,3,0,20,20,Lecture,Face to Face,Main Campus,Melinda Kisling,,"LAA4, LAMS, LC3D, LC8",,
ASL310-001,Deaf Culture & Community,21662,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0145,3,0,20,20,Lecture,Face to Face,Main Campus,Melinda Kisling,,,,
ASLS260-001,Intro to Phonetics,24149,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Gunter Hall 2520,3,0,45,45,Lecture,Face to Face,Main Campus,Caitlin Raaz,,,,
ASLS266-001,Normal Spch & Lang Dev,20002,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,Kepner Hall 0040,3,0,45,45,Lecture,Face to Face,Main Campus,Emily Figliomeni,,,,
ASLS343-001,Fundam Phys/Bio Acoustics,20003,01/09/2023 05/07/2023,W,11:15am-12:55pm,Kepner Hall 0040,2,0,36,36,Lecture,Face to Face,Main Campus,Donald Finan,,,,
ASLS365-001,Lang Dis in Children,20004,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Gunter Hall 2520,3,0,40,40,Lecture,Face to Face,Main Campus,Lisa Cottingham,,,,
ASLS366-001,Lang Sampling Processes,20005,01/09/2023 05/07/2023,T,12:30pm-1:20pm,Gunter Hall 1720,1,0,35,35,Lecture,Face to Face,Main Campus,Lisa Cottingham,,,,
ASLS370-001,Basic Audiology,20006,01/09/2023 05/07/2023,T R,9:30am-10:55am,Gunter Hall 2520,4,0,40,40,Lecture,Face to Face,Main Campus,Jennifer Weber,Other times arranged.,,,
ASLS431-001,Organic-Based Com Dis,20007,01/09/2023 05/07/2023,T R,9:30am-10:45am,Gunter Hall 1150,3,0,36,36,Lecture,Face to Face,Main Campus,Charles Lenell,,,,
ASLS469-001,Clinical Process in SLP,20008,01/09/2023 05/07/2023,M W,8:00am-9:55am,Gunter Hall 2120,4,0,25,25,Lecture,Face to Face,Main Campus,Julie Hanks,,,,
ASLS478-001,Aural Rehab and Amplif,20009,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Kepner Hall 1010,3,0,35,35,Lecture,Face to Face,Main Campus,"Julie Hanks, Erinn Jimmerson",,,,
ASLS483-001,Entry/Prim Slp Pract,20010,01/09/2023 05/07/2023,R,12:30pm-1:45pm,Kepner Hall 1040,2,0,28,28,Practicum/Clinical,Internship/Practica,Main Campus,Christina Farrell,Instructor consent required. Other times arranged.,,,
ASLS567-001,Diagnostic Proc Intro,21225,01/09/2023 05/07/2023,M,12:20pm-1:10pm,Gunter Hall 1140,1,0,26,26,Lecture,Face to Face,Main Campus,"Christina Farrell, Theresa Snelling, Nicole Reisfeld",,,,
ASLS571-001,Speech & Hearing Science,20012,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Gunter Hall 2530,3,0,39,39,Lecture,Face to Face,Main Campus,Donald Finan,,,,
ASLS571-002,Speech & Hearing Science,20745,01/09/2023 05/07/2023,M,1:25pm-2:15pm,Gunter Hall 0010,1,0,12,12,Laboratory,Face to Face,Main Campus,Donald Finan,Required lab for ASLS 571-001. For SLP students only. Other times arranged.,,,
ASLS571-003,Speech & Hearing Science,20015,01/09/2023 05/07/2023,M,11:15am-12:05pm,Gunter Hall 0010,1,0,12,12,Laboratory,Face to Face,Main Campus,Donald Finan,Required lab for ASLS 571-001. For SLP students only.,,,
ASLS571-004,Speech & Hearing Science,20017,01/09/2023 05/07/2023,M,12:20pm-1:10pm,Gunter Hall 0010,1,0,12,12,Laboratory,Face to Face,Main Campus,Donald Finan,Required lab for ASLS 571-001. For AUD students only.,,,
ASLS580-001,Pract in Rehab Audiology,20022,01/09/2023 05/07/2023,TBA,TBA,Arranged,2-Jan,0,26,26,Clinical,Internship/Practica,Main Campus,Julie Hanks,"Course has scheduled meetings 1/20, 2/3, and 2/17 -- other times arranged.",,,
ASLS594-001,Pract and Adv Top in Aud,20027,01/09/2023 05/07/2023,W,3:35pm-4:25pm,Gunter Hall 2540,6-Jan,0,20,20,Clinical,Internship/Practica,Main Campus,"Diane Erdbruegger, Erinn Jimmerson",Other clinical times arranged.,,,
ASLS615-001,Research in Audiology,20028,01/09/2023 05/07/2023,M,10:10am-11:00am,Gunter Hall 1380,4-Jan,0,10,10,Research/Directed Studies,Directed Study,Main Campus,Deanna Meinke,For AUD grads. Other times arranged.,,,
ASLS657-001,Motor Speech Dis:Lifespan,20896,01/09/2023 05/07/2023,T R,12:30pm-1:20pm,Gunter Hall 2540,2,0,28,28,Lecture,Face to Face,Main Campus,Charles Lenell,,,,
ASLS684-470,Dis Lang/Lit: School Age,20030,01/09/2023 05/07/2023,T R,9:30am-10:45am,Kepner Hall 1040,3,0,26,26,Lecture,Face to Face,Main Campus,Emily Figliomeni,,,,
ASLS721-001,Psychoacoustics,21842,01/09/2023 05/07/2023,R,12:30pm-2:10pm,Gunter Hall 1380,2,0,10,10,Lecture,Face to Face,Main Campus,Kathryn Bright,,,,
ASLS724-001,Dx of Auditory Disorders,21843,01/09/2023 05/07/2023,T R,9:30am-10:45am,Gunter Hall 1380,3,0,10,10,Lecture,Face to Face,Main Campus,Kathryn Bright,,,,
ASLS743-001,Medical Aspects of Aud,21026,01/09/2023 05/07/2023,M,4:15pm-6:45pm,Gunter Hall 2530,3,0,10,10,Lecture,Face to Face,Main Campus,Deanna Meinke,,,,
ASLS751-001,Otopharmacology,20759,01/09/2023 05/07/2023,T,12:30pm-2:10pm,Kepner Hall 2045,2,0,10,10,Lecture,Face to Face,Main Campus,Deanna Meinke,,,,
ASLS775-003,Adv Electrodiagnosis,23627,01/09/2023 05/07/2023,W,1:25pm-3:05pm,Gunter Hall 2540,1,0,10,10,Laboratory,Mixed Face to Face,Main Campus,Tina Stoody,MF - This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
ASLS782-002,Pediatric Audiology,22570,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Gunter Hall 1380,3,0,10,10,Lecture,Face to Face,Main Campus,"Jennifer Weber, Erinn Jimmerson",,,,
AST100-007,SC1-The Sky and Planets,22866,01/09/2023 05/07/2023,M W F,1:25pm-2:15pm,Ross Hall 0060,4,0,60,60,Lecture,Face to Face,Main Campus,Charles Kuehn,,"LAS1, LASL, LC6, LCLB",,
AST100-113,SC1-The Sky and Planets,22867,01/09/2023 05/07/2023,M,7:00pm-9:00pm,Doubenmier TENNIS,0,0,30,30,Laboratory,Face to Face,Main Campus,Charles Kuehn,Lab must be taken with lecture AST 100-007.,"LAS1, LASL, LC6, LCLB",,
AST100-313,SC1-The Sky and Planets,20043,01/09/2023 05/07/2023,W,7:00pm-9:00pm,Doubenmier TENNIS,0,0,30,30,Laboratory,Face to Face,Main Campus,Charles Kuehn,Lab must be taken with lecture AST 100-007.,"LAS1, LASL, LC6, LCLB",,
